PRODUCT_DESCRIPTION,Units Sold,Unique Identifier,Units Sold
GO WIRELESS PORTABLE SPEAKER,59850,SOUNDLINK MINI II,118964
984-000551 BOOM 2 Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,53471,SOUNDLINK COLOR,116823
SOUNDLINK MINI II,45085,UE BOOM 2,114948
SoundLink Mini II Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,44698,FLIP 3,98677
SoundLink Color Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,40030,ROLL,79769
Flip 3 Portable Bluetooth Speaker for MP3 Player/Cell Phone Black,39940,GO WIRELESS PORTABLE SPEAKER,60518
984-000504 Roll Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,38272,CLIP PLUS,52740
Flip 3 Portable Bluetooth Speaker for MP3 Player/Cell Phone Blue,32504,CHARGE II PLUS,48817
984-000436 Megaboom Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black/Gray,28129,MEGABOOM,48068
Onyx Studio 2 Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,26427,Pill+ Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet,37545
ML4M2LL/A Pill+ Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,26162,Mini H2O Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet,36992
Clip+ Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,24937,Jam Portable Wireless Bluetooth Speaker for MP3 Player/Cell Phone/Tablet,30695
984-000516 Roll Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Blue,24903,Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet,29869
984-000552 BOOM 2 Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Blue,24165,CANZ Portable Bluetooth Speaker for MP3 Player/Cell Phone,27740
IBC233B Portable Bluetooth FM/CD Boombox for MP3 Player/Cell Phone Black,22868,SOUNDLINK WIRELESS BLUETOOTH MOBILE SPEAKER III,27729
SoundLink III Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Silver/Black,22612,FLIP 2,26673
UE BOOM 2,22508,Onyx Studio 2 Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,26427
SoundLink Mini II Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Silver,22262,Portable Bluetooth Color Changing Speaker for MP3 Player/Cell Phone/Tablet,24964
CHARGE II PLUS,21050,Portable Bluetooth Speaker for MP3 Player/Cell Phone,23124
Flip 2 Portable Bluetooth Speaker for MP3 Player/Cell Phone Black,19229,IBC233B Portable Bluetooth FM/CD Boombox for MP3 Player/Cell Phone Black,22868
SoundLink Color Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Blue,18904,SRS-X11,22397
SoundLink Color Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Green,18273,Pill 2.0 Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet,21153
IBT74BC Portable Bluetooth Color Changing Speaker for MP3 Player/Cell Phone/Tablet Black,18164,Hangtime Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet,19725
SoundLink Color Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Red,17166,Mini LifeJacket 2 Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet,17849
HX-P140BK Hangtime Portable Bluetooth Speaker for MP3 Player/Cell Phone/Tablet Black,17110,PULSE 2,17786
